,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
aakb-1 X_+_13755969_13756843_13756911_13757040,aakb-1,WBGene00010115,F55F3.1,X_+_13755969_13756843_13756911_13757040,89.70%,97.43%,90.72%,79.04%,100%,78.57%,96.64%,91.43%,80.49%,92.96%,94.56%,92.80%,100%,88.11%,78.93%,96.73%,87.86%,95.17%,66.67%,77.02%,82.62%,92.94%,88.81%,84.93%,88.85%,91.98%,98.80%,91.34%,82.50%,100%,86.25%,89.32%,82.52%,93.21%,58.33%,100%,98.48%,80.55%,84.66%,100%,85.18%,91.99%,77.57%,98.18%,98.47%,90.81%
abhd-3.1 V_+_19955786_19956543_19956873_19957304,abhd-3.1,WBGene00013358,Y60A3A.7,V_+_19955786_19956543_19956873_19957304,100%,100%,95.33%,98.17%,100%,100%,100%,100%,100%,97.48%,98.89%,86.56%,NA,99.15%,98.44%,100%,98.46%,100%,100%,84.40%,97.99%,100%,94.52%,99.03%,98.67%,97.63%,98.77%,99.85%,100%,100%,91.44%,98.90%,99.58%,97.26%,96.29%,100%,100%,98.30%,99.13%,100%,97.49%,99.64%,93.79%,100%,95.24%,100%
abl-1 X_-_10617014_10617184_10617214_10617780,abl-1,WBGene00000018,M79.1,X_-_10617014_10617184_10617214_10617780,6.67%,83.33%,20.33%,14.79%,0%,25%,45.83%,47.92%,32.46%,41.67%,3.67%,38.75%,50%,22.30%,40.74%,92.82%,9.72%,15.42%,70.84%,59.60%,0%,50.66%,13.56%,16.74%,23.23%,27.64%,34.44%,11.67%,53.66%,100%,45.53%,68.59%,54.68%,50.57%,100%,0%,72.08%,73.07%,9.61%,100%,18.17%,5.59%,41.12%,33.33%,18.75%,36.32%
abt-2 I_-_2264844_2265486_2266075_2266902,abt-2,WBGene00000020,F12B6.1,I_-_2264844_2265486_2266075_2266902,NA,NA,NA,NA,NA,NA,NA,NA,98.54%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.90%,96.96%,NA
abtm-1 I_-_2475638_2478227_2478800_2480302,abtm-1,WBGene00022281,Y74C10AR.3,I_-_2475638_2478227_2478800_2480302,95.86%,100%,97.89%,94.86%,100%,81.25%,92.96%,95%,100%,70.77%,100%,100%,66.67%,93.28%,100%,95.79%,68.98%,100%,100%,98.38%,100%,97.43%,96.05%,100%,93.89%,92.50%,94.71%,100%,94.69%,96.88%,100%,96.53%,97.12%,93.84%,100%,100%,97.79%,87.17%,96.10%,100%,98.92%,95.55%,97.71%,100%,100%,95.68%
abts-1 I_-_8304381_8304478_8306089_8306222,abts-1,WBGene00009920,F52B5.1,I_-_8304381_8304478_8306089_8306222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17%,11.36%,1.83%,NA,NA,NA,NA,NA,NA,2.03%,NA,NA,NA,NA,NA,NA,NA,5.32%,NA,NA,NA,NA,NA,NA,3.72%
acc-3 X_-_4726271_4726318_4726372_4726748,acc-3,WBGene00018880,F55D10.5,X_-_4726271_4726318_4726372_4726748,58.34%,NA,77.92%,NA,NA,NA,100%,NA,NA,97.33%,NA,100%,NA,61.09%,0%,16.67%,NA,NA,0%,0%,100%,100%,20.83%,52.77%,62.21%,50%,63.64%,50%,25%,66.67%,25%,100%,66.67%,65%,NA,NA,100%,100%,NA,NA,100%,NA,86.11%,0%,0%,72.31%
acc-3 X_-_4726372_4726634_4726703_4726748,acc-3,WBGene00018880,F55D10.5,X_-_4726372_4726634_4726703_4726748,0%,NA,4.17%,50%,NA,0%,0%,NA,0%,6.02%,NA,35.83%,NA,0%,NA,NA,NA,NA,NA,0%,0%,0%,0%,NA,NA,33.33%,NA,16.67%,0%,0%,25%,0%,0%,0%,NA,NA,25%,40%,61.75%,NA,14.58%,0%,8.33%,0%,NA,NA
acc-4 III_-_13480780_13480950_13481120_13481565,acc-4,WBGene00012099,T27E9.9,III_-_13480780_13480950_13481120_13481565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.44%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.28%,NA,89.44%,NA,NA,NA
acc-4 III_-_13480780_13481418_13481499_13481565,acc-4,WBGene00012099,T27E9.9,III_-_13480780_13481418_13481499_13481565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.07%,NA,12.03%,NA,NA,NA,NA,NA,100%,NA,NA,90.89%,NA,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,NA
ace-3 II_+_14207278_14207522_14208182_14208717,ace-3,WBGene00000037,Y48B6A.8,II_+_14207278_14207522_14208182_14208717,NA,NA,100%,99.29%,NA,100%,NA,NA,NA,NA,NA,100%,NA,100%,NA,100%,100%,NA,NA,NA,NA,99.84%,94.95%,NA,100%,NA,100%,99.64%,NA,100%,100%,100%,100%,NA,NA,55%,100%,99.61%,99.71%,100%,100%,100%,100%,93.06%,NA,100%
acl-4 X_-_2068752_2069525_2069588_2069688,acl-4,WBGene00018657,F49H12.6,X_-_2068752_2069525_2069588_2069688,66.63%,80.15%,34.26%,40.14%,43.96%,0%,55%,38.51%,67.60%,18.78%,53.57%,41.67%,66.67%,48.90%,70.09%,86.66%,57.09%,28.13%,43.30%,92.46%,55%,100%,72.92%,56.55%,67.65%,70.74%,56.14%,57.50%,66.30%,90.04%,80.38%,81.31%,78.13%,71.12%,50%,50%,66.50%,40.81%,36.42%,48.05%,31.34%,26.48%,56.00%,53.97%,88.85%,71.69%
acp-2 II_-_8430994_8431047_8431146_8431233,acp-2,WBGene00008802,F14E5.4,II_-_8430994_8431047_8431146_8431233,NA,NA,94.84%,100%,100%,100%,NA,100%,100%,NA,NA,100%,NA,100%,100%,NA,94.95%,NA,NA,100%,NA,100%,100%,NA,NA,100%,NA,100%,100%,NA,100%,NA,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,NA,100%
acr-17 V_+_2612963_2613481_2613565_2613979,acr-17,WBGene00000056,F53E10.2,V_+_2612963_2613481_2613565_2613979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.11%,NA,NA,NA,93.21%,NA,NA,NA,6.70%,NA,NA,NA
acr-20 II_-_14376902_14377810_14377890_14380777,acr-20,WBGene00000059,R06A4.10,II_-_14376902_14377810_14377890_14380777,NA,25%,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,50.16%,NA,53.49%,NA,NA,NA,NA,NA,NA,NA,33.34%,NA,NA,NA,NA,NA,NA,NA,NA,100%,NA,33.34%,NA,NA
add-1 X_-_4854873_4854965_4855055_4855150,add-1,WBGene00000072,F39C12.2,X_-_4854873_4854965_4855055_4855150,100%,21.41%,NA,30.64%,NA,100%,46.67%,100%,39.61%,0%,33.45%,85.42%,NA,NA,NA,8.33%,75%,NA,100%,38.54%,NA,63.72%,91.80%,67.25%,0%,71.25%,68.75%,94.84%,62.50%,100%,94.60%,100%,62.80%,74.02%,NA,NA,76.72%,18.33%,51.30%,79.17%,57.78%,63.22%,NA,74.98%,90.62%,71.87%
add-1 X_-_4854873_4854965_4855211_4855318,add-1,WBGene00000072,F39C12.2,X_-_4854873_4854965_4855211_4855318,NA,NA,NA,NA,7.14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.01%,NA,NA,NA,NA,NA,NA,NA,80.30%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
add-1 X_-_4854873_4855151_4855211_4855318,add-1,WBGene00000072,F39C12.2,X_-_4854873_4855151_4855211_4855318,NA,79.52%,NA,27.59%,12.50%,12.50%,38.10%,0%,59.02%,NA,66.99%,33.34%,NA,NA,51.70%,83.34%,33.33%,25%,11.11%,60.04%,0%,NA,NA,NA,70.28%,41.71%,NA,NA,42.71%,NA,NA,40%,NA,53.15%,NA,NA,30.51%,32.92%,72.50%,69.45%,NA,75%,NA,80.61%,NA,NA
add-1 X_-_4857340_4857432_4857531_4857799,add-1,WBGene00000072,F39C12.2,X_-_4857340_4857432_4857531_4857799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.79%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
