"","Gene","WormBase_Gene_ID","Sequence_Name","AS_event_ID","ADL","AFD","AIM","AIN","AIY","ASEL","ASER","ASG","ASI","ASK","AVA","AVE","AVG","AVH","AVK","AVL","AVM","AWA","AWB","AWC","BAG","CAN","DA","DD","DVC","I5","IL1","IL2","LUA","NSM","OLL","OLQ","PHA","PVC","PVD","PVM","RIA","RIC","RIM","RIS","RMD","SMB","SMD","VB","VC","VD"
"M04D8.7 III_+_10037661_10037856_10038120","M04D8.7","WBGene00010865","M04D8.7","III_+_10037661_10037856_10038120",NA,NA,"98.485%",NA,NA,NA,NA,"98.2425%",NA,NA,NA,"100%",NA,NA,"100%","100%","93.3333333333333%","91.3725%","99.376%",NA,NA,"100%",NA,"98.275%","92.8575%",NA,"97.73%","88.7966666666667%",NA,NA,NA,NA,NA,"88.182%","100%","100%",NA,NA,"97.98%","100%",NA,NA,NA,"100%",NA,"95.455%"
"T16G12.6 III_+_10070298_10070336_10070343","T16G12.6","WBGene00011807","T16G12.6","III_+_10070298_10070336_10070343","1.9225%","0%","2.175%","5.152%",NA,"0%","0%","0%","0%","0%","11.6666666666667%","0%","0%","1.5625%","0%","0%","12.5%","0%","0%","26.57%","0%","0%","5.23%","0%","6.6275%","17.295%","0%","4.4125%","13.5266666666667%","18.1833333333333%","28.875%","23.3333333333333%","6.08%","12.184%","0%","0%","3.33666666666667%","0%","15.715%","0%","0.952%","0%","13.3325%","8.3325%","5%","0%"
"mua-3 III_+_10168124_10168172_10170113","mua-3","WBGene00003482","K08E5.3","III_+_10168124_10168172_10170113","12.4375%","25%","20.0925%","29.0333333333333%","50%","0%","28.0966666666667%","25%","63.38%","11.11%","16.345%","65%",NA,"28.8025%","28.325%","66.6666666666667%","22.2233333333333%","66.6675%","40%",NA,"27.7766666666667%",NA,"21.585%",NA,"14.3225%","24.245%",NA,"5.81%",NA,"11.72%",NA,NA,NA,NA,"0%",NA,"27.8075%","41.6666666666667%","57.5%",NA,"42.736%","34.778%","45.2625%","45.4533333333333%","31.786%",NA
"K10G9.2 III_+_10287766_10288195_10288201","K10G9.2","WBGene00010756","K10G9.2","III_+_10287766_10288195_10288201","96.015%","96.834%","95.2925%","97.1683333333333%","100%","97.3533333333333%","95.075%","93.8225%","93.8%","97.9175%","94.6516666666667%","96.2966666666667%","99.0866666666667%","96.0725%","95.2325%","98.0533333333333%","96.62%","97.1575%","100%","95.4625%","98.5575%","100%","97.795%","96.81%","94.3075%","96.365%","97.2333333333333%","98.53%","98.0866666666667%","92.685%","95.915%","98.45%","96.7325%","95.264%","100%","90.385%","91.085%","91.7%","93.215%","97.1%","97.6%","96.746%","96.3725%","99.315%","96.6233333333333%","96.385%"
"T07C4.3 III_+_10354265_10354305_10354311","T07C4.3","WBGene00011560","T07C4.3","III_+_10354265_10354305_10354311","1.515%","12.5%","5.72333333333333%","14.482%","32.145%","7.145%","10.2566666666667%","0%","16.6666666666667%","12.5%","8.46166666666667%","0%","0%","12.315%","5.555%","0%","3.70333333333333%","4.545%","16.6666666666667%","19.23%","20.8325%","10.37%","9.68333333333333%","5.9025%","1.23333333333333%","6.2025%","0%","3.41%","9.88666666666667%","13.68%","9.425%","13.76%","6.6%","6.208%","20%","0%","5.86%","11.11%","2.1425%","3.57%","2.01%","7%","19.51%","20.6725%","2.77833333333333%","9.38%"
"tbc-8 III_+_10367013_10368753_10369380","tbc-8","WBGene00008018","C38H2.1","III_+_10367013_10368753_10369380",NA,"50%",NA,NA,"100%",NA,NA,"55.5533333333333%","46.19%",NA,"49.5233333333333%",NA,"21.8566666666667%",NA,NA,NA,NA,NA,"33.3333333333333%",NA,"100%","100%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.665%",NA,NA,NA,"100%",NA,NA,NA,NA,NA,NA
"M03C11.3 III_+_10408287_10408360_10408368","M03C11.3","WBGene00010840","M03C11.3","III_+_10408287_10408360_10408368","30.285%","15.824%","13.125%","16.358%","46.43%","75%","0%","40.395%","35.04%","0%","25.714%","20%","20%","26.065%","25%","15.0933333333333%","8.12%","17.3075%","33.3333333333333%","24.825%","11.4575%","57.9333333333333%","49.4533333333333%","20.5825%","24.3575%","53.6225%","7.69333333333333%","5.0975%","58.8%","32.0633333333333%","62.205%","42.8566666666667%","57.1425%","34.618%","0%","0%","35.3383333333333%","22.5633333333333%","16.3575%","40%","22.988%","16.386%","35.685%","50%","16.5983333333333%","44.27%"
"ymel-1 III_+_10418307_10418799_10418817","ymel-1","WBGene00010842","M03C11.5","III_+_10418307_10418799_10418817","36.8825%","39.798%","49.825%","38.77%","70.8766666666667%","25%","44.1675%","62.3275%","57.0966666666667%","62.8125%","58.666%","64.4433333333333%","75%","47.335%","41.865%","59.6466666666667%","31.6366666666667%","51.8975%","44.285%","50.99%","40%","52.89%","52.3%","45.385%","43.855%","55.8125%","31.19%","48.57%","66.055%","42.3066666666667%","37.525%","43.6666666666667%","40.4025%","36.606%","47.22%","12%","50.2%","57.7775%","49.835%","19.445%","40.23%","41.3%","42.16%","72.725%","41.9183333333333%","46.165%"
"atx-2 III_+_10466187_10466293_10467036","atx-2","WBGene00000231","D2045.1","III_+_10466187_10466293_10467036","61.91%","86.624%","56.9625%","53.52%","57.145%","83.7133333333333%","61.9675%","62.365%","75.9225%","49.9675%","47.0266666666667%","60.38%","32.4433333333333%","54.46%","66.8125%","21.5266666666667%","62.81%","59.595%","76.5%","79.1475%","41.59%","93.51%","87.4975%","96.3925%","72.0125%","79.54%","91.5733333333333%","85.61%","94.57%","92.7733333333333%","97.16%","93.3466666666667%","86.2875%","93.008%","81.82%","75%","69.475%","54.58%","62.0675%","78.67%","92.618%","55.658%","92.65%","84.815%","89.655%","95.0975%"
"atx-2 III_+_10467254_10467302_10467310","atx-2","WBGene00000231","D2045.1","III_+_10467254_10467302_10467310","13.64%","12.678%","18.85%","8.70833333333333%","0%","12.0833333333333%","5.295%","2.1%","10.135%","3.3325%","22.1183333333333%","4.33333333333333%","28.57%","14.715%","14.14%","5.94666666666667%","7.63333333333333%","11.805%","6.666%","11.615%","3.0325%","8.61333333333333%","31.5%","14.065%","7.245%","35.025%","23.5433333333333%","8.1425%","35.2%","41.34%","46.42%","35.4966666666667%","25.0775%","33.256%","0%","45%","18.835%","8.04%","7.9825%","11.11%","10.526%","6.85%","11.705%","18.0425%","7.935%","20.2075%"
