,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
aagr-4 X_+_465647_466532,aagr-4,WBGene00018682,F52D1.1,X_+_465647_466532,2.17%,NA,1.59%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08%,NA,NA,NA,NA,NA,NA,NA,25.25%
aak-2 X_+_16796231_16799705,aak-2,WBGene00020142,T01C8.1,X_+_16796231_16799705,NA,NA,NA,NA,NA,NA,2.85%,58.26%,8.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.87%,NA,50.09%,NA,NA,NA,NA,8.33%,NA,NA,NA,NA,NA,NA,NA,NA,2.08%,3.31%,NA,NA,NA,NA,NA,NA,NA
aak-2 X_+_16799870_16800044,aak-2,WBGene00020142,T01C8.1,X_+_16799870_16800044,5.68%,NA,NA,1.77%,NA,3.66%,5.32%,20.50%,NA,NA,NA,NA,NA,3.01%,NA,NA,2.22%,23.27%,NA,NA,NA,29.70%,NA,25.05%,4.12%,NA,NA,22.92%,NA,NA,NA,4.58%,NA,NA,NA,NA,NA,6.40%,NA,NA,NA,NA,NA,NA,NA,22.24%
aak-2 X_+_16800514_16800687,aak-2,WBGene00020142,T01C8.1,X_+_16800514_16800687,3.55%,5.81%,4.22%,4.14%,2.54%,0%,2.48%,11.38%,4.28%,4.29%,NA,0%,4.76%,0.86%,1.28%,7.29%,6.64%,5.24%,3.18%,1.21%,0%,3.85%,3.88%,5.70%,3.36%,8.95%,2.27%,18.54%,4.44%,11.66%,5.96%,1.67%,1.76%,6.94%,0%,0%,10.10%,3.57%,3.81%,1.28%,1.87%,5.26%,2.93%,0%,3.28%,4.43%
aak-2 X_+_16800807_16801031,aak-2,WBGene00020142,T01C8.1,X_+_16800807_16801031,10.28%,14.02%,6.81%,5.91%,5%,3.39%,2.62%,17.39%,7.93%,16.48%,17.70%,37.64%,3.66%,5.07%,3.66%,7.75%,2.17%,14.89%,21.80%,1.30%,1.79%,5.89%,11.82%,18.06%,5.10%,2.85%,4.86%,29.55%,5.03%,19.61%,13.12%,7.92%,4.30%,12.29%,12.50%,0%,9.21%,5.30%,5.44%,5.54%,4.64%,4.67%,8.11%,16.98%,7.83%,12.10%
aak-2 X_+_16801590_16801690,aak-2,WBGene00020142,T01C8.1,X_+_16801590_16801690,2.94%,19.16%,2.42%,1.11%,13.66%,6.83%,3.53%,14.66%,7.20%,NA,25.48%,33.10%,NA,1.55%,4.09%,6.69%,5.03%,13.38%,NA,1.35%,9.38%,19.62%,NA,11.46%,2.20%,2.07%,1.84%,16.20%,1.71%,19.13%,1.32%,5.26%,1.19%,3.30%,12.05%,5.86%,14.26%,2.56%,2.44%,3.17%,3.55%,3.16%,3.02%,8.44%,5.73%,NA
aak-2 X_+_16802565_16802747,aak-2,WBGene00020142,T01C8.1,X_+_16802565_16802747,4.56%,NA,NA,NA,NA,NA,NA,NA,2.51%,NA,NA,NA,NA,NA,4.11%,3.57%,4.41%,NA,NA,2.45%,2.34%,NA,NA,NA,NA,3.49%,NA,15.15%,9.51%,6.01%,NA,2.84%,NA,NA,NA,0%,NA,2.32%,5.01%,3.60%,NA,NA,NA,NA,2.34%,NA
aakb-1 X_+_13757270_13758343,aakb-1,WBGene00010115,F55F3.1,X_+_13757270_13758343,4.37%,NA,2.03%,NA,NA,2.89%,0.76%,NA,0.67%,20.23%,NA,NA,NA,NA,4.48%,6.93%,NA,NA,NA,1.44%,0%,29.87%,27.75%,24.29%,2.76%,2.78%,1.79%,23.46%,3.13%,NA,NA,1.19%,NA,1.84%,NA,4.17%,NA,4.72%,NA,12.50%,NA,NA,NA,NA,1.33%,18.88%
aakg-1 III_-_12539285_12540287,aakg-1,WBGene00013732,Y111B2A.8,III_-_12539285_12540287,3.23%,21.01%,NA,3.30%,NA,0.26%,3.15%,24.28%,3.49%,NA,25.73%,NA,32.11%,4.92%,2.20%,13.23%,4.21%,22.19%,NA,NA,2.03%,NA,16.41%,NA,4.81%,NA,3.66%,NA,3.02%,7.87%,3.61%,5.79%,3.11%,3.84%,22.94%,3.13%,NA,NA,2.81%,0.37%,2.82%,4.87%,2.67%,18.07%,2%,22.85%
aakg-1 III_-_12540399_12540675,aakg-1,WBGene00013732,Y111B2A.8,III_-_12540399_12540675,NA,11.45%,4.76%,NA,NA,1.87%,2.76%,14.11%,NA,NA,18.81%,9.56%,2.35%,5.24%,5.07%,5.77%,6.22%,NA,22.09%,2.60%,4.36%,NA,NA,16.90%,5.00%,5.71%,NA,14.34%,NA,10.61%,8.90%,3.96%,NA,NA,NA,3.82%,13.25%,3.45%,3.19%,0%,NA,6.76%,6.15%,5.17%,5.01%,NA
