,Gene,WormBase_Gene_ID,Sequence_Name,AS_event_ID,ADL,AFD,AIM,AIN,AIY,ASEL,ASER,ASG,ASI,ASK,AVA,AVE,AVG,AVH,AVK,AVL,AVM,AWA,AWB,AWC,BAG,CAN,DA,DD,DVC,I5,IL1,IL2,LUA,NSM,OLL,OLQ,PHA,PVC,PVD,PVM,RIA,RIC,RIM,RIS,RMD,SMB,SMD,VB,VC,VD
aak-2 X_+_16796231_16797060_16799705,aak-2,WBGene00020142,T01C8.1,X_+_16796231_16797060_16799705,100%,100%,66.67%,100%,NA,100%,100%,100%,100%,100%,100%,NA,100%,100%,100%,100%,44.07%,100%,100%,100%,83.34%,100%,96.30%,80.80%,100%,100%,66.19%,100%,100%,100%,100%,100%,93.08%,93.33%,100%,100%,100%,100%,100%,100%,100%,52.61%,66.02%,100%,62.50%,100%
aakg-1 III_-_12544841_12547233_12547336,aakg-1,WBGene00013732,Y111B2A.8,III_-_12544841_12547233_12547336,53.01%,21.23%,40.61%,82.50%,28.57%,39.41%,NA,42.60%,51.92%,53.63%,66.55%,82.50%,30.15%,66.29%,47.09%,26.10%,75.87%,54.29%,52.09%,84.59%,55.31%,54.16%,75.26%,59.71%,53.18%,45.82%,70.93%,76.81%,15.11%,60.50%,29.64%,48.57%,62.88%,54.38%,41.48%,30.95%,70.68%,76.75%,75.47%,76.24%,83.67%,55.30%,79.04%,65.28%,57.07%,64.50%
aakg-1 III_-_12561879_12562602_12572640,aakg-1,WBGene00013732,Y111B2A.8,III_-_12561879_12562602_12572640,57.12%,90.26%,91.67%,70.08%,78.57%,77.78%,87.56%,87.82%,87.49%,93.87%,76.17%,66.67%,15.13%,80.42%,77.25%,14.89%,88.15%,85.20%,63.18%,69.91%,75.06%,87.92%,63.18%,82.41%,80.74%,91.89%,77.05%,94.35%,65.70%,60.61%,95.25%,90.52%,81.96%,78.33%,100%,86.37%,86.67%,65.02%,75.73%,90.94%,79.93%,91.79%,79.91%,71.34%,94.35%,68.89%
aakg-5 II_-_9973168_9973251_9974615,aakg-5,WBGene00011276,R53.7,II_-_9973168_9973251_9974615,96.28%,100%,96.82%,97.77%,100%,100%,100%,100%,98.16%,95.60%,92.06%,100%,80%,98.51%,94.99%,98.52%,93.47%,100%,100%,99.17%,100%,94.87%,98.04%,98.08%,96.76%,96.56%,100%,96.59%,100%,98.15%,98.39%,100%,97.76%,99.18%,100%,100%,95.52%,100%,97.97%,100%,99.18%,98.98%,97.52%,88.89%,98.55%,97.55%
aakg-5 II_-_9974704_9974928_9975160,aakg-5,WBGene00011276,R53.7,II_-_9974704_9974928_9975160,0%,0%,0.77%,0%,0%,0%,0%,0%,0%,17.46%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.37%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2.50%,0%,0%,0%,0%,0.63%,0%,0%,0%,0.68%,0%,0%,0%
aat-2 V_-_9245539_9245586_9245634,aat-2,WBGene00000003,F07C3.7,V_-_9245539_9245586_9245634,0%,0%,0%,0%,NA,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8.36%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
aat-9 I_-_11389238_11389873_11389915,aat-9,WBGene00000010,Y53H1C.1,I_-_11389238_11389873_11389915,13.57%,0%,8.93%,8.74%,0%,4.17%,6.63%,0%,8.40%,8.57%,4.17%,16.67%,0%,3.57%,21.80%,2.56%,12.55%,10.27%,20.37%,13.17%,0%,0%,6.39%,0%,12.38%,8.33%,3.92%,7.50%,13.37%,33.33%,7.50%,29.89%,9.32%,10.37%,0%,NA,3.66%,29.69%,7.14%,4.76%,3.86%,7.45%,5.94%,6.25%,17.18%,8.59%
abhd-3.1 V_+_19955786_19956873_19957304,abhd-3.1,WBGene00013358,Y60A3A.7,V_+_19955786_19956873_19957304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93%,NA,NA,NA,0%,19.23%,NA,NA,NA,0%,NA,NA,NA,NA,NA,NA
abl-1 X_-_10607415_10608429_10608441,abl-1,WBGene00000018,M79.1,X_-_10607415_10608429_10608441,14.58%,0%,12.27%,25.56%,0%,0%,25%,41.67%,45.71%,16.67%,30.16%,25%,0%,10.37%,18.89%,18.58%,25.15%,6.25%,33.33%,0%,0%,38.65%,15.32%,32.67%,3.67%,46.40%,15.44%,31.63%,28.44%,62.50%,7.65%,14.44%,30.95%,19.43%,0%,50%,12.92%,6.79%,8.81%,4.55%,15.12%,65.60%,32.27%,0%,3.48%,30.79%
abl-1 X_-_10612758_10613771_10616939,abl-1,WBGene00000018,M79.1,X_-_10612758_10613771_10616939,NA,NA,83.78%,87.02%,NA,NA,NA,NA,NA,NA,NA,NA,100%,92.28%,NA,100%,86.11%,NA,NA,83.87%,NA,100%,93.94%,85.85%,95.41%,92.59%,NA,96.67%,100%,NA,90.63%,NA,NA,90.92%,100%,33.33%,NA,NA,88.65%,NA,87.76%,79.32%,51.85%,NA,99.09%,85.58%
abt-2 I_-_2264844_2265485_2266902,abt-2,WBGene00000020,F12B6.1,I_-_2264844_2265485_2266902,2.94%,0%,12.25%,5.04%,NA,0%,0%,0%,NA,2.60%,0%,33.33%,0%,5.56%,5.56%,0%,0%,0%,12.50%,2.75%,6.25%,0%,0%,0%,12.14%,8.69%,2.22%,3.13%,0%,0%,3.03%,8.33%,2.35%,2.50%,0%,0%,15.56%,29.23%,4.03%,33.33%,7.17%,8.82%,17.64%,11.98%,NA,0%
abts-1 I_-_8304381_8304477_8306222,abts-1,WBGene00009920,F52B5.1,I_-_8304381_8304477_8306222,97.10%,94.74%,98.06%,99.60%,100%,98.61%,96.43%,98.36%,99.56%,98.59%,99.21%,94.44%,100%,99.91%,97.29%,100%,100%,98.57%,90%,98.14%,99.52%,91.66%,77.29%,96.35%,97.52%,98.20%,99.18%,99.06%,96.94%,100%,95.94%,92.66%,99.44%,94.00%,100%,100%,95.98%,96.63%,NA,89.32%,98.51%,94.55%,98.78%,97.33%,85.32%,92.56%
abts-3 II_+_6133637_6136285_6137833,abts-3,WBGene00019018,F57F10.1,II_+_6133637_6136285_6137833,0%,0%,8.71%,17.50%,100%,0%,16.67%,0%,2.08%,100%,76.39%,0%,NA,29.17%,25%,100%,91.67%,33.33%,100%,69.48%,55.56%,4.55%,24.71%,53.18%,60.83%,3.57%,54.34%,81.25%,58.52%,50%,3.34%,62.50%,25.42%,40.83%,0%,50%,44.44%,16.67%,35.71%,73.33%,6.66%,65.79%,53.57%,27.94%,18.75%,66.85%
abts-3 II_+_6137990_6147738_6151145,abts-3,WBGene00019018,F57F10.1,II_+_6137990_6147738_6151145,NA,NA,NA,NA,45.98%,0%,57.58%,36.39%,74.36%,16.67%,23.11%,NA,10%,NA,NA,NA,78.57%,30.45%,13.33%,35.42%,6.06%,NA,NA,NA,NA,20.09%,NA,NA,NA,NA,NA,36.82%,53.08%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.28%,59.03%,NA
abts-3 II_+_6137990_6150742_6151145,abts-3,WBGene00019018,F57F10.1,II_+_6137990_6150742_6151145,NA,5%,NA,NA,64.06%,NA,36.30%,NA,66.30%,100%,NA,NA,NA,NA,NA,NA,67.22%,58.33%,66.67%,NA,22.22%,NA,NA,NA,NA,NA,NA,73.35%,NA,NA,NA,NA,NA,NA,33.75%,0%,NA,NA,1.84%,NA,NA,NA,NA,NA,79.17%,NA
